"","Peak.Brightness.Date.Time..UT.","Latitude..deg..","Longitude..deg..","Altitude..km.","Velocity..km.s.","Calculated.Total.Impact.Energy..kt.","Altitud.sin","Velocidad.sin","Altitud.Clase"
"86","2015-05-07 20:34:34","21.5S","29.3W",37,17.3,0.17,37,17.3,"Estratosfera"
"87","2015-04-30 10:21:01","48.7S","139.1E",26.7,12.9,0.32,26.7,12.9,"Estratosfera"
"88","2015-04-21 01:42:51","37.7N","39.6W",37.4,21.3,0.27,37.4,21.3,"Estratosfera"
"89","2015-04-10 01:14:27","42.8S","8.2E",NA,NA,0.21,33.3,16.7,"Estratosfera"
"90","2015-04-08 04:06:31","25.5S","51.5E",36.3,19.2,0.49,36.3,19.2,"Estratosfera"
"91","2015-04-03 01:39:38","8.4N","157.9W",NA,NA,0.14,42.5,11.4,"Estratosfera"
"92","2015-03-30 21:33:52","36.1S","5.5W",33.1,13.8,0.2,33.1,13.8,"Estratosfera"
"93","2015-03-18 00:04:50","5.4S","159.3E",50,NA,0.36,50,14.7,"Estratosfera"
"94","2015-03-11 06:18:59","8.0N","119.1E",35.2,19.9,0.23,35.2,19.9,"Estratosfera"
"95","2015-03-08 04:26:28","39.1S","118.6W",NA,NA,0.073,64.5,11.4,"Mesosfera"
"96","2015-03-04 04:30:05","15.9S","88.1E",39.8,18,0.18,39.8,18,"Estratosfera"
"97","2015-02-26 22:06:24","68.0N","149.0W",33.7,21.1,0.53,33.7,21.1,"Estratosfera"
"98","2015-02-25 10:53:24","12.4N","122.4W",42,NA,0.19,42,11.4,"Estratosfera"
"99","2015-02-17 13:19:50","8.0S","11.2W",39,28.8,0.11,39,28.8,"Estratosfera"
"100","2015-01-09 17:31:47","23.3S","49.2W",NA,NA,0.079,64.5,14.6,"Mesosfera"
"101","2015-01-09 10:41:11","2.0N","28.8E",36,17.5,0.41,36,17.5,"Estratosfera"
"102","2015-01-07 01:05:59","45.7N","26.9E",45.5,35.7,0.4,45.5,35.7,"Estratosfera"
"103","2015-01-02 13:39:19","31.1S","140.0E",38.1,18.1,0.073,38.1,18.1,"Estratosfera"
"104","2014-12-13 02:53:52","86.7N","162.1W",30.7,21.7,0.15,30.7,21.7,"Estratosfera"
"105","2014-12-12 06:48:11","33.5N","144.9E",26.3,12,0.11,26.3,12,"Estratosfera"
"106","2014-12-09 21:19:18","76.6N","96.3E",26.3,NA,0.24,26.3,14.7,"Estratosfera"
"107","2014-11-28 11:47:18","45.8S","172.7W",26.1,13.4,1.7,26.1,13.4,"Estratosfera"
"108","2014-11-27 12:12:52","18.8S","73.4W",38,NA,0.18,38,14.7,"Estratosfera"
"109","2014-11-26 23:16:51","69.5S","179.7W",23.3,25.3,0.35,23.3,25.3,"Estratosfera"
"110","2014-11-26 17:40:16","68.2S","24.0W",37,19.9,0.32,37,19.9,"Estratosfera"
"111","2014-11-04 20:13:30","43.1N","115.8E",22.2,16,0.45,22.2,16,"Estratosfera"
"112","2014-10-21 18:55:37","22.2N","132.9W",NA,NA,0.12,20,14.6,"Estratosfera"
"113","2014-10-17 14:07:36","4.6S","66.3W",39,NA,0.23,39,11.4,"Estratosfera"
"114","2014-10-14 10:25:03","2.0S","119.2E",27.2,16.9,0.1,27.2,16.9,"Estratosfera"
"115","2014-10-06 20:02:15","43.7S","85.7E",NA,NA,0.13,64.5,11.4,"Mesosfera"
"116","2014-09-09 18:55:46","3.2N","137.2E",32.5,NA,0.098,32.5,14.6,"Estratosfera"
"117","2014-09-05 21:37:26","22.7N","150.0W",NA,NA,0.12,64.5,16.7,"Mesosfera"
"118","2014-08-29 23:15:39","6.2S","49.9W",NA,NA,0.092,38,14.6,"Estratosfera"
"119","2014-08-28 03:07:45","3.2N","45.4W",NA,NA,0.12,33.3,15.9,"Estratosfera"
"120","2014-08-23 06:29:41","61.7S","132.6E",22.2,16.2,7.6,22.2,16.2,"Estratosfera"
"121","2014-07-29 07:38:07","49.2S","172.2W",NA,NA,0.23,42.5,16.7,"Estratosfera"
"122","2014-07-29 03:07:43","33.9S","115.9W",NA,NA,0.17,42.5,14.6,"Estratosfera"
"123","2014-06-28 02:40:07","18.9N","141.2E",26.3,12.4,0.67,26.3,12.4,"Estratosfera"
"124","2014-06-26 05:54:41","71.5S","93.4E",28.5,11.2,0.2,28.5,11.2,"Estratosfera"
"125","2014-05-29 01:12:36","21.9N","131.1W",28.7,NA,0.19,28.7,15.9,"Estratosfera"
"126","2014-05-16 20:06:28","39.4S","95.9W",30.8,18,0.4,30.8,18,"Estratosfera"
"127","2014-05-16 12:42:48","44.2S","176.2W",44,16.5,0.82,44,16.5,"Estratosfera"
"128","2014-05-08 19:42:37","36.9S","87.3E",35.4,19,2.4,35.4,19,"Estratosfera"
"129","2014-03-29 13:45:41","28.7S","121.5E",30.7,16.3,0.13,30.7,16.3,"Estratosfera"
"130","2014-03-18 11:02:37","0.0N","111.8W",30.5,NA,1.3,30.5,14.6,"Estratosfera"
"131","2014-03-03 15:00:21","29.0S","94.9W",NA,NA,0.29,64.5,11.4,"Mesosfera"
"132","2014-02-18 12:50:44","32.8S","61.5W",NA,NA,0.092,20,14.7,"Estratosfera"
"133","2014-02-13 06:47:42","13.3N","110.7W",25,NA,1.5,25,16.7,"Estratosfera"
"134","2014-01-15 02:46:19","18.5S","141.8E",29.6,NA,0.41,29.6,11.4,"Estratosfera"
"135","2014-01-12 16:00:48","2.9N","64.4E",37,16.2,0.24,37,16.2,"Estratosfera"
"136","2014-01-08 17:05:34","1.3S","147.6E",18.7,44.8,0.11,18.7,44.8,"Estratosfera"
"137","2013-12-23 08:30:57","39.5N","2.0E",34.3,15.1,0.43,34.3,15.1,"Estratosfera"
"138","2013-12-08 03:10:09","32.8N","165.1W",23.5,11.8,0.2,23.5,11.8,"Estratosfera"
"139","2013-11-21 01:50:35","44.7N","35.3E",59.3,12.4,0.23,59.3,12.4,"Mesosfera"
"140","2013-10-12 16:06:45","19.1S","25.0W",22.2,12.8,3.5,22.2,12.8,"Estratosfera"
"141","2013-10-09 17:27:36","","",NA,NA,0.19,38,11.4,"Estratosfera"
"142","2013-09-24 15:31:16","10.3S","164.7W",40.7,NA,0.46,40.7,14.7,"Estratosfera"
"143","2013-08-12 18:08:02","34.4S","118.2E",66.6,NA,0.15,66.6,11.4,"Mesosfera"
"144","2013-07-31 07:00:38","","",NA,NA,0.13,64.5,15.9,"Mesosfera"
"145","2013-07-31 03:50:14","31.8S","137.1E",29.1,17.8,0.22,29.1,17.8,"Estratosfera"
"146","2013-07-30 02:36:58","50.2S","90.2E",25.6,18.8,1,25.6,18.8,"Estratosfera"
"147","2013-07-27 08:30:36","0.3N","156.2E",26.5,22.1,0.36,26.5,22.1,"Estratosfera"
"148","2013-07-26 11:32:26","21.0N","178.5W",37,NA,0.073,37,11.4,"Estratosfera"
"149","2013-07-18 00:46:37","","",NA,NA,0.079,42.5,16.7,"Estratosfera"
"150","2013-06-13 02:51:14","","",NA,NA,0.079,33.3,14.6,"Estratosfera"
"151","2013-06-01 22:49:48","65.6S","138.4E",28.9,NA,0.12,28.9,16.7,"Estratosfera"
"152","2013-05-14 23:20:21","3.0S","76.4E",NA,NA,0.073,42.5,14.7,"Estratosfera"
"153","2013-04-30 08:40:38","35.5N","30.7W",21.2,12.1,10,21.2,12.1,"Estratosfera"
"154","2013-04-21 06:23:12","28.1S","64.6W",40.7,14.9,2.5,40.7,14.9,"Estratosfera"
"155","2013-03-12 10:32:59","32.7S","17.1E",26,NA,0.1,26,14.6,"Estratosfera"
"156","2013-02-20 13:13:07","23.0S","38.8W",NA,13.6,0.1,20,13.6,"Estratosfera"
"157","2013-02-15 03:20:33","54.8N","61.1E",23.3,18.6,440,23.3,18.6,"Estratosfera"
"158","2013-02-07 13:12:24","18.8S","158.6W",NA,NA,0.21,20,16.7,"Estratosfera"
"159","2013-01-25 07:40:18","60.3N","64.6W",NA,NA,6.9,20,14.6,"Estratosfera"
"160","2013-01-12 03:04:21","15.1S","155.6W",36.1,NA,0.16,36.1,11.4,"Estratosfera"
"161","2012-12-30 07:25:35","17.3N","83.6W",NA,NA,0.55,33.3,15.9,"Estratosfera"
"162","2012-12-18 11:19:17","","",NA,NA,0.095,42.5,15.9,"Estratosfera"
"163","2012-11-20 20:37:31","2.5N","29.6E",33.3,14.3,0.089,33.3,14.3,"Estratosfera"
"164","2012-11-20 06:25:11","8.0S","86.0W",NA,NA,0.36,42.5,11.4,"Estratosfera"
"165","2012-10-25 15:57:19","","",NA,NA,0.1,42.5,16.7,"Estratosfera"
"166","2012-10-19 16:26:22","75.4S","49.6E",29.3,13.2,0.082,29.3,13.2,"Estratosfera"
"167","2012-10-09 00:54:55","51.2N","84.6W",27.8,13.5,0.58,27.8,13.5,"Estratosfera"
"168","2012-10-03 22:50:12","41.5S","21.9W",NA,17,0.75,42.5,17,"Estratosfera"
"169","2012-10-02 16:38:38","8.1S","111.9W",35,15.4,1.2,35,15.4,"Estratosfera"
