"","Object.Designation..","Year.Range..","Potential.Impacts..","Impact.Probability..cumulative.","Vinfinity..km.s.","H..mag.","Estimated.Diameter..km.","Palermo.Scale..cum..","FechaProx.Clase","Probabilidad.Log","BrilloH.Clase","Palermo.Clase","Fecha.Min","Fecha.Max"
"717","2016 FA14","2072-2072",1,7e-08,15.24,27.4,0.011,-8.25,"Muy Largo Plazo",-16.4747705948971,"Nivel Alto","Nivel Bajo",2072,2072
"718","2013 RZ53","2058-2103",11,1.4e-05,1.25,31.1,0.002,-8.26,"Muy Largo Plazo",-11.176453228349,"Nivel Alto","Nivel Bajo",2058,2103
"719","2010 UE","2032-2044",2,2.4e-07,16.11,29.6,0.004,-8.27,"Largo Plazo",-15.2426269136044,"Nivel Alto","Nivel Bajo",2032,2044
"720","2008 UM1","2018-2073",8,5.4e-07,18.99,31.6,0.002,-8.28,"Medio Plazo",-14.4316966973881,"Nivel Alto","Nivel Bajo",2018,2073
"721","2016 TM","2089-2093",2,2.1e-07,4.29,27.5,0.011,-8.28,"Muy Largo Plazo",-15.3761583062289,"Nivel Alto","Nivel Bajo",2089,2093
"722","2007 WT3","2101-2101",1,1.9e-09,19.92,24.1,0.051,-8.3,"Muy Largo Plazo",-20.081411950774,"Nivel Bajo","Nivel Bajo",2101,2101
"723","2017 UK1","2081-2112",3,9.4e-08,7.56,27.1,0.013,-8.3,"Muy Largo Plazo",-16.1799710546764,"Nivel Medio","Nivel Bajo",2081,2112
"724","2016 DY30","2036-2115",9,7.7e-07,15.6,30.5,0.003,-8.31,"Largo Plazo",-14.0768753220987,"Nivel Alto","Nivel Bajo",2036,2115
"725","2017 SA21","2056-2056",1,1.7e-07,10.07,28.3,0.007,-8.32,"Muy Largo Plazo",-15.5874673998962,"Nivel Alto","Nivel Bajo",2056,2056
"726","2014 HS197","2055-2100",7,3.7e-07,16.97,29.4,0.004,-8.32,"Muy Largo Plazo",-14.8097628313081,"Nivel Alto","Nivel Bajo",2055,2100
"727","2014 OQ392","2092-2115",4,7.2e-10,11.64,22.8,0.093,-8.33,"Muy Largo Plazo",-21.0517699039184,"Nivel Bajo","Nivel Bajo",2092,2115
"728","2008 XC1","2085-2085",1,1.4e-09,11.66,23.7,0.063,-8.34,"Muy Largo Plazo",-20.3867936003252,"Nivel Bajo","Nivel Bajo",2085,2085
"729","2010 RK53","2029-2029",1,3.4e-08,8.23,27.8,0.009,-8.34,"Largo Plazo",-17.1969053123302,"Nivel Alto","Nivel Bajo",2029,2029
"730","2014 DK10","2060-2100",3,1.2e-07,11.81,27.8,0.01,-8.35,"Muy Largo Plazo",-15.9357740941644,"Nivel Alto","Nivel Bajo",2060,2100
"731","2008 YC29","2034-2116",15,1.1e-08,11.02,25.4,0.028,-8.38,"Largo Plazo",-18.325370564148,"Nivel Bajo","Nivel Bajo",2034,2116
"732","2012 XL55","2066-2066",1,2.3e-08,19.09,27.1,0.013,-8.39,"Muy Largo Plazo",-17.5877716210173,"Nivel Medio","Nivel Bajo",2066,2066
"733","2016 EU84","2115-2115",1,1.1e-06,2.39,28.9,0.005,-8.39,"Muy Largo Plazo",-13.7202003781599,"Nivel Alto","Nivel Bajo",2115,2115
"734","2009 FQ32","2070-2104",7,6.4e-08,4.75,26.8,0.015,-8.4,"Muy Largo Plazo",-16.5643827535867,"Nivel Medio","Nivel Bajo",2070,2104
"735","2017 SE33","2058-2116",8,1.2e-07,8.73,27.8,0.009,-8.4,"Muy Largo Plazo",-15.9357740941644,"Nivel Alto","Nivel Bajo",2058,2116
"736","2013 UJ5","2061-2061",1,1e-07,10.81,28,0.009,-8.41,"Muy Largo Plazo",-16.1180956509583,"Nivel Alto","Nivel Bajo",2061,2061
"737","2014 UY57","2071-2076",2,6e-08,9.1,27.2,0.012,-8.41,"Muy Largo Plazo",-16.6289212747243,"Nivel Medio","Nivel Bajo",2071,2076
"738","2015 YC2","2045-2045",1,2.9e-10,14.67,23.4,0.071,-8.43,"Largo Plazo",-21.961140192948,"Nivel Bajo","Nivel Bajo",2045,2045
"739","2014 BZ2","2106-2106",1,7.2e-09,17.72,25.5,0.027,-8.45,"Muy Largo Plazo",-18.7491848109244,"Nivel Bajo","Nivel Bajo",2106,2106
"740","2015 XH55","2092-2110",3,8.2e-07,7.14,29.2,0.005,-8.46,"Muy Largo Plazo",-14.0139614966881,"Nivel Alto","Nivel Bajo",2092,2110
"741","2017 SG33","2051-2109",4,8.2e-10,17.4,23.9,0.055,-8.46,"Muy Largo Plazo",-20.9217167756702,"Nivel Bajo","Nivel Bajo",2051,2109
"742","2017 JB2","2110-2111",2,9.7e-07,2.92,29.1,0.005,-8.48,"Muy Largo Plazo",-13.845969765449,"Nivel Alto","Nivel Bajo",2110,2111
"743","2004 OD4","2100-2100",1,5.8e-08,8.45,26.9,0.014,-8.49,"Muy Largo Plazo",-16.6628228264,"Nivel Medio","Nivel Bajo",2100,2100
"744","2014 HT197","2070-2090",4,1.2e-07,17.22,28.5,0.007,-8.49,"Muy Largo Plazo",-15.9357740941644,"Nivel Alto","Nivel Bajo",2070,2090
"745","2007 WW3","2031-2106",5,1.1e-09,10.27,23.9,0.056,-8.53,"Largo Plazo",-20.6279556571421,"Nivel Bajo","Nivel Bajo",2031,2106
"746","2015 KW157","2042-2115",7,9.8e-09,9.32,25.9,0.022,-8.57,"Largo Plazo",-18.4408834512699,"Nivel Medio","Nivel Bajo",2042,2115
"747","2009 XR1","2026-2109",13,2e-07,6,29.3,0.005,-8.62,"Largo Plazo",-15.4249484703984,"Nivel Alto","Nivel Bajo",2026,2109
"748","2016 JR38","2084-2084",1,1.1e-10,10.86,21.9,0.14,-8.62,"Muy Largo Plazo",-22.9305407501361,"Nivel Bajo","Nivel Bajo",2084,2084
"749","2016 YC13","2087-2116",7,2.1e-08,11.76,26.7,0.016,-8.65,"Muy Largo Plazo",-17.678743399223,"Nivel Medio","Nivel Bajo",2087,2116
"750","2005 TK50","2054-2106",2,1.5e-07,20.62,28.9,0.006,-8.66,"Muy Largo Plazo",-15.7126305428502,"Nivel Alto","Nivel Bajo",2054,2106
"751","2010 UZ7","2111-2111",1,2.2e-09,15.97,24.7,0.039,-8.67,"Muy Largo Plazo",-19.9348084765821,"Nivel Bajo","Nivel Bajo",2111,2111
"752","2006 WV","2103-2103",1,2.9e-08,14.69,27.1,0.013,-8.7,"Muy Largo Plazo",-17.3559700069599,"Nivel Medio","Nivel Bajo",2103,2103
"753","2015 TC25","2112-2112",1,8.2e-07,3.51,29.4,0.004,-8.71,"Muy Largo Plazo",-14.0139614966881,"Nivel Alto","Nivel Bajo",2112,2112
"754","2002 CB19","2049-2049",1,7.2e-10,15.73,24.8,0.038,-8.72,"Largo Plazo",-21.0517699039184,"Nivel Bajo","Nivel Bajo",2049,2049
"755","2017 VC14","2111-2111",2,1.6e-07,11.5,28.4,0.007,-8.72,"Muy Largo Plazo",-15.6480920217126,"Nivel Alto","Nivel Bajo",2111,2111
"756","2011 UA64","2113-2113",1,3e-08,14.41,27.1,0.013,-8.73,"Muy Largo Plazo",-17.3220684552843,"Nivel Medio","Nivel Bajo",2113,2113
"757","2017 SB33","2049-2049",1,2.1e-10,19.15,23.9,0.056,-8.75,"Largo Plazo",-22.2839135852111,"Nivel Bajo","Nivel Bajo",2049,2049
"758","2012 YR1","2077-2077",1,1.5e-08,7.84,26.5,0.017,-8.76,"Muy Largo Plazo",-18.0152156358442,"Nivel Medio","Nivel Bajo",2077,2077
"759","2017 XS2","2104-2104",2,1.4e-08,5.04,26,0.021,-8.77,"Muy Largo Plazo",-18.0842085073312,"Nivel Medio","Nivel Bajo",2104,2104
"760","2008 EF32","2083-2083",3,2.6e-07,13.11,29.4,0.004,-8.78,"Muy Largo Plazo",-15.1625842059309,"Nivel Alto","Nivel Bajo",2083,2083
"761","2015 HM182","2021-2116",96,1.6e-07,6.93,29,0.005,-8.79,"Medio Plazo",-15.6480920217126,"Nivel Alto","Nivel Bajo",2021,2116
"762","2012 WQ3","2040-2040",1,5.5e-10,23.77,25.4,0.028,-8.8,"Largo Plazo",-21.321102837702,"Nivel Bajo","Nivel Bajo",2040,2040
"763","2009 JE1","2044-2093",8,2e-08,5.64,27.3,0.012,-8.84,"Largo Plazo",-17.7275335633924,"Nivel Medio","Nivel Bajo",2044,2093
"764","2011 SL189","2043-2100",5,8.6e-10,9.74,24.6,0.04,-8.84,"Largo Plazo",-20.874088726681,"Nivel Bajo","Nivel Bajo",2043,2100
"765","2011 CA7","2062-2064",3,5.4e-07,8.91,30.3,0.003,-8.87,"Muy Largo Plazo",-14.4316966973881,"Nivel Alto","Nivel Bajo",2062,2064
"766","2002 CA26","2115-2115",1,7.6e-09,11.06,25.9,0.022,-8.87,"Muy Largo Plazo",-18.6951175896541,"Nivel Medio","Nivel Bajo",2115,2115
"767","2016 UR36","2107-2107",2,2.6e-08,17.96,27.5,0.011,-8.89,"Muy Largo Plazo",-17.4651692989249,"Nivel Alto","Nivel Bajo",2107,2107
"768","2008 WJ14","2031-2089",8,4.4e-09,10.65,26.5,0.017,-8.9,"Largo Plazo",-19.2416612960222,"Nivel Medio","Nivel Bajo",2031,2089
"769","2015 VD105","2094-2094",1,1.4e-09,9.27,24.6,0.041,-8.91,"Muy Largo Plazo",-20.3867936003252,"Nivel Bajo","Nivel Bajo",2094,2094
"770","2009 EJ1","2041-2086",4,4e-08,10.47,28.3,0.008,-8.93,"Largo Plazo",-17.0343863828325,"Nivel Alto","Nivel Bajo",2041,2086
"771","2012 CS46","2023-2117",28,3.7e-08,6.86,27.8,0.009,-8.94,"Medio Plazo",-17.1123479243022,"Nivel Alto","Nivel Bajo",2023,2117
"772","2013 EC20","2112-2112",3,3.2e-07,2.67,29,0.005,-8.94,"Muy Largo Plazo",-14.9549448411526,"Nivel Alto","Nivel Bajo",2112,2112
"773","2017 BF136","2069-2105",3,2.5e-09,20.9,26.1,0.02,-8.97,"Muy Largo Plazo",-19.8069751050723,"Nivel Medio","Nivel Bajo",2069,2105
"774","2009 XQ2","2084-2114",2,2.6e-10,26.17,24.1,0.051,-8.98,"Muy Largo Plazo",-22.070339484913,"Nivel Bajo","Nivel Bajo",2084,2114
"775","2010 XU","2081-2088",2,3e-09,6.25,25.4,0.029,-8.99,"Muy Largo Plazo",-19.6246535482783,"Nivel Bajo","Nivel Bajo",2081,2088
"776","2009 MG1","2079-2079",1,3.1e-10,17.47,24.1,0.052,-8.99,"Muy Largo Plazo",-21.8944488184494,"Nivel Bajo","Nivel Bajo",2079,2079
"777","2016 AQ164","2035-2035",1,6.9e-08,13.9,29.9,0.004,-8.99,"Largo Plazo",-16.4891593323492,"Nivel Alto","Nivel Bajo",2035,2035
"778","2014 HM198","2075-2104",2,1.3e-08,10.52,27.3,0.012,-9.11,"Muy Largo Plazo",-18.1583164794849,"Nivel Medio","Nivel Bajo",2075,2104
"779","2014 HK197","2057-2115",15,4.4e-09,16.99,26.7,0.015,-9.13,"Muy Largo Plazo",-19.2416612960222,"Nivel Medio","Nivel Bajo",2057,2115
"780","2015 XQ129","2085-2085",1,4.3e-10,15.3,24.4,0.044,-9.13,"Muy Largo Plazo",-21.5672359072409,"Nivel Bajo","Nivel Bajo",2085,2085
"781","2007 VF189","2072-2077",2,3.6e-08,11.47,28.4,0.007,-9.14,"Muy Largo Plazo",-17.1397468984903,"Nivel Alto","Nivel Bajo",2072,2077
"782","2016 JY5","2093-2107",2,1.9e-08,6.16,27.1,0.013,-9.15,"Muy Largo Plazo",-17.77882685778,"Nivel Medio","Nivel Bajo",2093,2107
"783","2015 HZ182","2035-2101",10,3.9e-09,14.85,27,0.013,-9.16,"Largo Plazo",-19.3622892838108,"Nivel Medio","Nivel Bajo",2035,2101
"784","2014 HN2","2112-2112",1,9.8e-09,2.59,26.3,0.018,-9.18,"Muy Largo Plazo",-18.4408834512699,"Nivel Medio","Nivel Bajo",2112,2112
"785","2016 WF7","2102-2115",4,1e-07,6.54,28.7,0.006,-9.19,"Muy Largo Plazo",-16.1180956509583,"Nivel Alto","Nivel Bajo",2102,2115
"786","2008 JL24","2091-2091",1,2.3e-07,2.7,29.6,0.004,-9.24,"Muy Largo Plazo",-15.2851865280232,"Nivel Alto","Nivel Bajo",2091,2091
"787","2016 NC56","2114-2114",1,8.4e-09,14.5,27.1,0.013,-9.29,"Muy Largo Plazo",-18.5950341310971,"Nivel Medio","Nivel Bajo",2114,2114
"788","2013 VD17","2075-2075",1,6.1e-09,11.99,27.1,0.013,-9.29,"Muy Largo Plazo",-18.9149770657671,"Nivel Medio","Nivel Bajo",2075,2075
"789","2016 FF14","2106-2106",1,8.8e-09,9.56,27.1,0.013,-9.38,"Muy Largo Plazo",-18.5485141154623,"Nivel Medio","Nivel Bajo",2106,2106
"790","2014 AG51","2067-2105",4,7.6e-08,14.81,30,0.003,-9.43,"Muy Largo Plazo",-16.3925324966601,"Nivel Alto","Nivel Bajo",2067,2105
"791","2017 UJ2","2074-2097",5,5.1e-07,5.23,30.9,0.002,-9.47,"Muy Largo Plazo",-14.488855111228,"Nivel Alto","Nivel Bajo",2074,2097
"792","2009 SD15","2081-2105",2,2.7e-09,14.07,26.9,0.014,-9.51,"Muy Largo Plazo",-19.7300140639361,"Nivel Medio","Nivel Bajo",2081,2105
"793","2016 FY13","2066-2066",1,1.2e-10,12.52,24.3,0.048,-9.52,"Muy Largo Plazo",-22.8435293731465,"Nivel Bajo","Nivel Bajo",2066,2066
"794","2017 WW1","2055-2055",1,4e-08,12.44,29.7,0.004,-9.52,"Muy Largo Plazo",-17.0343863828325,"Nivel Alto","Nivel Bajo",2055,2055
"795","2017 YE7","2022-2022",1,8e-10,20.33,28.5,0.007,-9.54,"Medio Plazo",-20.9464093882606,"Nivel Alto","Nivel Bajo",2022,2022
"796","2009 DM40","2091-2091",1,2.9e-09,8.96,26.6,0.016,-9.57,"Muy Largo Plazo",-19.658555099954,"Nivel Medio","Nivel Bajo",2091,2091
"797","2014 HD199","2089-2112",2,2.1e-10,14.26,24.5,0.043,-9.58,"Muy Largo Plazo",-22.2839135852111,"Nivel Bajo","Nivel Bajo",2089,2112
"798","2010 SK13","2084-2084",1,2.5e-09,18.03,27.3,0.012,-9.64,"Muy Largo Plazo",-19.8069751050723,"Nivel Medio","Nivel Bajo",2084,2084
"799","2011 SC108","2111-2111",1,4.9e-09,22.3,27.9,0.009,-9.66,"Muy Largo Plazo",-19.1340306318298,"Nivel Alto","Nivel Bajo",2111,2111
"800","2005 WN3","2024-2024",1,4e-09,18.17,29.9,0.004,-9.69,"Medio Plazo",-19.3369714758265,"Nivel Alto","Nivel Bajo",2024,2024
"801","2014 WZ365","2047-2047",1,2.8e-10,10.86,25.7,0.025,-9.7,"Largo Plazo",-21.9962315127593,"Nivel Medio","Nivel Bajo",2047,2047
"802","2009 SH1","2070-2116",32,6.7e-08,5.56,30,0.003,-9.9,"Muy Largo Plazo",-16.5185732175554,"Nivel Alto","Nivel Bajo",2070,2116
"803","2007 RC20","2091-2091",1,1.2e-09,5.07,26.7,0.016,-10.1,"Muy Largo Plazo",-20.5409442801525,"Nivel Medio","Nivel Bajo",2091,2091
"804","2014 HC196","2112-2112",1,2e-10,10.36,25.2,0.031,-10.1,"Muy Largo Plazo",-22.3327037493805,"Nivel Bajo","Nivel Bajo",2112,2112
"805","2009 EH1","2051-2051",1,1.5e-09,10.6,27.9,0.009,-10.1,"Muy Largo Plazo",-20.3178007288382,"Nivel Alto","Nivel Bajo",2051,2051
"806","2015 RU178","2055-2055",1,9.6e-10,18.73,27.9,0.009,-10.1,"Muy Largo Plazo",-20.7640878314667,"Nivel Alto","Nivel Bajo",2055,2055
"807","2012 CQ46","2098-2107",2,1.3e-09,12.89,27.3,0.012,-10.15,"Muy Largo Plazo",-20.4609015724789,"Nivel Medio","Nivel Bajo",2098,2107
"808","2014 YP44","2092-2101",3,3.8e-10,4.34,26.1,0.02,-10.38,"Muy Largo Plazo",-21.6908498632081,"Nivel Medio","Nivel Bajo",2092,2101
"809","2016 VH","2115-2115",1,9.3e-10,4.79,26.8,0.015,-10.4,"Muy Largo Plazo",-20.7958365297812,"Nivel Medio","Nivel Bajo",2115,2115
"810","2012 UL171","2083-2083",2,5e-10,4.07,26.9,0.014,-10.57,"Muy Largo Plazo",-21.4164130175064,"Nivel Medio","Nivel Bajo",2083,2083
"811","2016 MH3","2104-2104",2,5.4e-10,4.79,27.1,0.013,-10.71,"Muy Largo Plazo",-21.3394519763702,"Nivel Medio","Nivel Bajo",2104,2104
"812","2016 DB","2059-2059",1,5e-10,9.16,28.5,0.007,-11,"Muy Largo Plazo",-21.4164130175064,"Nivel Alto","Nivel Bajo",2059,2059
"813","2017 XY2","2109-2109",1,2.6e-10,7.87,27.1,0.013,-11,"Muy Largo Plazo",-22.070339484913,"Nivel Medio","Nivel Bajo",2109,2109
"814","2012 FN","2089-2113",3,1.8e-09,3.7,29.1,0.005,-11.17,"Muy Largo Plazo",-20.1354791720443,"Nivel Alto","Nivel Bajo",2089,2113
