"","Object.Designation..","Year.Range..","Potential.Impacts..","Impact.Probability..cumulative.","Vinfinity..km.s.","H..mag.","Estimated.Diameter..km.","Palermo.Scale..cum..","FechaProx.Clase","Probabilidad.Log","BrilloH.Clase","Palermo.Clase","Fecha.Min","Fecha.Max"
"475","2006 BF56","2092-2117",19,2.3e-05,26.15,29.6,0.004,-6.71,"Muy Largo Plazo",-10.6800163420351,"Nivel Alto","Nivel Medio",2092,2117
"476","2014 XM7","2115-2115",1,3.8e-08,11.49,22.9,0.089,-6.72,"Muy Largo Plazo",-17.08567967722,"Nivel Bajo","Nivel Medio",2115,2115
"477","2005 UL6","2068-2068",2,1.1e-07,12.04,24.5,0.042,-6.73,"Muy Largo Plazo",-16.022785471154,"Nivel Bajo","Nivel Medio",2068,2068
"478","2007 CS5","2096-2110",4,3.1e-07,4.99,24.5,0.042,-6.73,"Muy Largo Plazo",-14.9866935394672,"Nivel Bajo","Nivel Medio",2096,2110
"479","2011 BH40","2023-2116",64,1.4e-07,5.4,25.1,0.033,-6.73,"Medio Plazo",-15.7816234143371,"Nivel Bajo","Nivel Medio",2023,2116
"480","2014 HJ198","2022-2116",124,6.8e-07,21.82,26.8,0.015,-6.74,"Medio Plazo",-14.2011730387763,"Nivel Medio","Nivel Medio",2022,2116
"481","2010 RA91","2114-2117",2,6.7e-08,10.17,23.4,0.072,-6.74,"Muy Largo Plazo",-16.5185732175554,"Nivel Bajo","Nivel Medio",2114,2117
"482","2017 EA","2046-2066",3,3.9e-05,17.33,30.6,0.003,-6.75,"Largo Plazo",-10.1519489118346,"Nivel Alto","Nivel Medio",2046,2066
"483","2015 HW182","2018-2116",178,5.2e-08,10.84,25.2,0.031,-6.75,"Medio Plazo",-16.772022118365,"Nivel Bajo","Nivel Medio",2018,2116
"484","2010 UR7","2079-2086",3,2.8e-06,13.33,27.4,0.011,-6.76,"Muy Largo Plazo",-12.7858911407831,"Nivel Alto","Nivel Medio",2079,2086
"485","2013 PS13","2096-2096",1,2.4e-06,17.26,27.3,0.012,-6.76,"Muy Largo Plazo",-12.9400418206104,"Nivel Medio","Nivel Medio",2096,2096
"486","2017 RK2","2083-2083",1,8.6e-06,7.3,28,0.009,-6.76,"Muy Largo Plazo",-11.6637483547048,"Nivel Alto","Nivel Medio",2083,2083
"487","2017 HJ","2070-2117",20,3.4e-06,14.83,27.5,0.011,-6.77,"Muy Largo Plazo",-12.5917351263422,"Nivel Alto","Nivel Medio",2070,2117
"488","2007 UT3","2054-2116",8,5.1e-07,9.05,25.7,0.024,-6.78,"Muy Largo Plazo",-14.488855111228,"Nivel Medio","Nivel Medio",2054,2116
"489","2016 FZ13","2108-2117",6,2e-05,4.3,28.3,0.007,-6.78,"Muy Largo Plazo",-10.8197782844103,"Nivel Alto","Nivel Medio",2108,2117
"490","2017 UR51","2061-2099",2,1.5e-08,10.23,22.6,0.1,-6.78,"Muy Largo Plazo",-18.0152156358442,"Nivel Bajo","Nivel Medio",2061,2099
"491","2010 CA","2022-2022",1,7.4e-09,14.7,24.4,0.044,-6.79,"Medio Plazo",-18.7217858367363,"Nivel Bajo","Nivel Medio",2022,2022
"492","2014 FE","2034-2081",11,1.6e-06,19.91,27.6,0.01,-6.79,"Largo Plazo",-13.3455069287185,"Nivel Alto","Nivel Medio",2034,2081
"493","2004 DA53","2111-2112",3,9e-06,9.35,27.9,0.009,-6.8,"Muy Largo Plazo",-11.6182859806281,"Nivel Alto","Nivel Medio",2111,2112
"494","2005 BS1","2024-2041",3,2.8e-07,12.35,27.3,0.012,-6.81,"Medio Plazo",-15.0884762337772,"Nivel Medio","Nivel Medio",2024,2041
"495","2013 NE24","2059-2112",9,3.4e-06,10.73,27.4,0.011,-6.81,"Muy Largo Plazo",-12.5917351263422,"Nivel Alto","Nivel Medio",2059,2112
"496","2002 XV90","2101-2114",7,4.8e-07,7.63,25.2,0.031,-6.82,"Muy Largo Plazo",-14.5494797330445,"Nivel Bajo","Nivel Medio",2101,2114
"497","2014 TL","2072-2114",8,6.3e-06,10.72,27.8,0.009,-6.82,"Muy Largo Plazo",-11.9749609245668,"Nivel Alto","Nivel Medio",2072,2114
"498","2015 HE183","2058-2105",24,6e-06,13.73,28.3,0.008,-6.82,"Muy Largo Plazo",-12.0237510887362,"Nivel Alto","Nivel Medio",2058,2105
